Round,School 1 Name,School 2 Name,Winning School,Winning Score,Losing Score
1,north-carolina,iona,north-carolina,88,73
1,utah-state,washington,washington,78,61
1,auburn,new-mexico-state,auburn,78,77
1,kansas,northeastern,kansas,87,53
1,iowa-state,ohio-state,ohio-state,62,59
1,houston,georgia-state,houston,84,55
1,wofford,seton-hall,wofford,84,68
1,kentucky,abilene-christian,kentucky,79,44
2,north-carolina,washington,north-carolina,81,59
2,auburn,kansas,auburn,89,75
2,ohio-state,houston,houston,74,59
2,wofford,kentucky,kentucky,62,56
